idx	X	Y	component
0	1000	1000.211932961043	0
1	1001.988751339807	1000	0
2	1001.988751166045	1000.00000000243	0
3	2141.968574976358	1009.915942038039	0
4	2141.968573483698	1009.915942062614	0
5	2142.965032558218	1009.831574926914	0
6	2141.968574194422	1009.915942077616	0
7	2142.965033172193	1009.8315749357	0
8	2142.965035051376	1009.831574930044	0
9	2461.923466157521	1003.912707704021	0
10	2461.92346500419	1003.912707711467	0
11	2462.923040817644	1003.943173840427	0
12	2461.923465132864	1003.91270770389	0
13	2462.92304171996	1003.943173847712	0
14	2462.923043099677	1003.943173841432	0
15	4068.986003724271	1009.561696879747	0
16	4068.986002210029	1009.561697000852	0
17	4069.971311063529	1009.733282232776	0
18	4068.986004035183	1009.561696880787	0
19	4069.971312032552	1009.73328216502	0
20	4069.971312368014	1009.73328207691	0
21	4973.124903843414	1007.270366528854	0
22	4973.124903844415	1007.270366528838	0
23	4974.106799843476	1007.081034613984	0
24	4973.12491076514	1007.270366460976	0
25	4974.106787121532	1007.081034895615	0
26	4974.106784528343	1007.081034739309	0
27	5378.798006177622	1002.373726757657	0
28	5378.79679151627	1002.364386773179	0
29	5378.799432762125	1002.383482938027	0
30	5378.799873102232	1002.386874733491	0
31	6024.108183880631	1006.487863718437	0
32	6024.108188293845	1006.48786371677	0
33	6025.103886053087	1006.397325433116	0
34	6024.108193471786	1006.487863439678	0
35	6025.103879075431	1006.39732552362	0
36	6025.103888489079	1006.397325322272	0
37	6692.125846628176	1013.003415954444	0
38	6692.125843181199	1013.003416144324	0
39	6693.118800436179	1012.883048374712	0
40	6692.125842943216	1013.003416423698	0
41	6693.118797915195	1012.883047817899	0
42	6693.118801451799	1012.883048282598	0
43	7531.325180420986	1008.355618172431	0
44	7531.325179689865	1008.355618172588	0
45	7532.317822689823	1008.473698698088	0
46	7531.32514673067	1008.355619429458	0
47	7532.317784478871	1008.473697906782	0
48	7532.317822688822	1008.473698698066	0
49	7716.842555546422	1008.212393690536	0
50	7716.847103984506	1008.205231821473	0
51	7716.838234291045	1008.21994044817	0
52	7716.834723929032	1008.225828044177	0
53	9189.842629422186	1010.536263169289	0
54	9189.84262812739	1010.536263169379	0
55	9190.836457425914	1010.426329793299	0
56	9189.842633011303	1010.536262910158	0
57	9190.836455436096	1010.426330027185	0
58	9190.83645436489	1010.426329902245	0
59	9461.811148525758	1007.556284489921	0
60	9461.811143068957	1007.556284489014	0
61	9462.806091609542	1007.65679979867	0
62	9461.811140637736	1007.556284435333	0
63	9462.806098382629	1007.656799906365	0
64	9462.806090105052	1007.656799801924	0
65	9762.800461943421	1007.927655235363	0
66	9762.800459078979	1007.927654766482	0
67	9764.755973113435	1007.511317653969	0
